DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,Released Year,Released Year
1,1,101,1001,10001,101,1,1,2025,2025-03-19
2,1,102,1001,10001,101,1,1,2025,2025-03-19
3,1,103,1001,10001,102,1,1,2025,2025-03-19
4,1,104,1001,10001,101,1,2,2025,2025-03-19
5,1,105,1001,10001,102,1,2,2025,2025-03-19
6,1,106,1002,10002,101,2,3,2024,2024-05-07
7,1,107,1002,10002,101,2,3,2024,2024-05-07
8,1,108,1002,10002,101,2,3,2024,2024-05-07
9,1,109,1002,10002,101,2,4,2024,2024-05-07
10,1,110,1002,10002,102,2,4,2024,2024-05-07
11,1,111,1002,10002,101,2,4,2024,2024-05-07
12,1,112,1002,10002,101,2,4,2024,2024-05-07
13,1,113,1001,10001,101,1,2,2025,2025-03-19
14,2,114,1003,10003,103,3,5,2025,2025-03-04
15,2,115,1003,10003,103,3,6,2025,2025-03-04
16,2,116,1003,10003,103,3,7,2025,2025-03-04
17,2,117,1003,10003,103,3,8,2025,2025-03-04
18,2,118,1003,10003,103,3,9,2025,2025-03-04
19,2,119,1003,10003,103,3,10,2025,2025-03-04
20,2,120,1003,10003,103,3,11,2025,2025-03-04
21,2,121,1003,10003,104,3,12,2025,2025-03-04
22,2,122,1003,10003,104,3,13,2025,2025-03-04
23,2,123,1003,10003,104,3,14,2025,2025-03-04
24,2,124,1003,10003,104,3,15,2025,2025-03-04
25,2,125,1003,10003,103,3,16,2025,2025-03-04
26,2,126,1004,10003,103,3,17,2025,2025-03-04
27,2,127,1004,10003,103,3,18,2025,2025-03-04
28,2,128,1004,10003,103,3,19,2025,2025-03-04
29,2,129,1004,10003,104,3,20,2025,2025-03-04
30,2,130,1004,10003,104,3,21,2025,2025-03-04
31,2,131,1004,10003,104,3,22,2025,2025-03-04
32,2,132,1004,10003,103,3,23,2025,2025-03-04
33,2,133,1004,10003,103,3,24,2025,2025-03-04
34,2,134,1004,10003,103,3,25,2025,2025-03-04
35,2,135,1004,10003,104,3,26,2025,2025-03-04
36,2,136,1004,10003,103,3,27,2025,2025-03-04
37,2,137,1004,10003,103,3,28,2025,2025-03-04
38,2,138,1005,10004,105,4,29,2025,2025-03-04
39,2,139,1005,10004,105,4,30,2025,2025-03-04
40,2,140,1005,10004,106,4,31,2025,2025-03-04
41,2,141,1005,10004,106,4,32,2025,2025-03-04
42,2,142,1005,10004,105,4,29,2025,2025-03-04
43,2,143,1005,10004,106,4,33,2025,2025-03-04
44,2,144,1005,10004,105,4,34,2025,2025-03-04
45,2,145,1005,10004,105,4,30,2025,2025-03-04
46,2,146,1005,10004,105,4,34,2025,2025-03-04
47,3,147,1006,10005,107,5,35,2025,2025-02-12
48,3,148,1006,10005,107,5,36,2025,2025-02-12
49,3,149,1006,10005,107,5,37,2025,2025-02-19
50,3,150,1006,10005,107,5,35,2025,2025-02-19
51,3,151,1006,10005,107,5,36,2025,2025-02-19
52,3,152,1006,10005,107,5,37,2025,2025-02-19
53,3,153,1006,10005,107,5,37,2025,2025-02-19
54,3,154,1006,10005,107,5,37,2025,2025-02-19
55,3,155,1006,10005,107,5,36,2025,2025-02-19
56,3,156,1006,10005,107,5,36,2025,2025-02-19
57,3,157,1006,10005,107,5,35,2025,2025-02-19
58,3,158,1006,10005,107,5,36,2025,2025-02-19
59,3,159,1007,10005,107,6,38,2024,2024-08-16
60,3,160,1007,10005,107,6,39,2024,2024-08-16
61,3,161,1007,10005,107,6,39,2024,2024-08-16
62,3,162,1007,10005,107,6,40,2024,2024-08-16
63,3,163,1007,10005,107,6,39,2024,2024-08-16
64,3,164,1007,10005,107,6,38,2024,2024-08-16
65,3,165,1007,10005,107,6,38,2024,2024-08-16
66,2,166,1008,10006,108,7,41,2025,2025-02-19
67,2,167,1008,10006,108,7,42,2025,2025-02-19
68,2,168,1008,10006,109,7,41,2025,2025-02-19
69,2,169,1008,10006,109,7,42,2025,2025-02-19
70,2,170,1008,10006,110,7,41,2025,2025-02-19
71,2,171,1008,10006,110,7,42,2025,2025-02-19
72,2,172,1008,10006,109,7,41,2025,2025-02-19
73,2,173,1008,10006,109,7,42,2025,2025-02-19
74,2,174,1008,10006,110,7,43,2025,2025-02-19
75,2,175,1008,10006,108,7,43,2025,2025-02-19
76,2,176,1008,10006,109,7,43,2025,2025-02-19
77,2,177,1008,10006,109,7,43,2025,2025-02-19
78,4,178,1009,10005,108,8,44,2025,2025-03-11
79,4,179,1009,10005,108,8,45,2025,2025-03-11
80,4,180,1009,10005,108,8,46,2025,2025-03-11
81,4,181,1009,10005,109,6,47,2025,2024-10-07
82,4,182,1009,10005,109,6,47,2025,2024-10-07
83,4,183,1009,10005,109,6,47,2025,2024-10-07
84,4,184,1009,10005,109,6,47,2025,2024-10-07
85,4,185,1009,10005,109,6,47,2025,2024-10-07
86,4,186,1009,10005,108,6,48,2024,2024-10-07
87,4,187,1009,10005,108,6,49,2024,2024-10-07
88,4,188,1009,10005,108,6,49,2025,2024-10-07
89,4,189,1009,10005,108,6,50,2025,2024-10-07
90,4,190,1009,10005,108,6,51,2024,2024-10-07
91,4,191,1009,10005,108,6,49,2024,2024-10-07
92,4,192,1009,10005,108,6,49,2024,2024-10-07
93,4,193,1009,10005,108,6,48,2024,2024-10-07
94,4,194,1009,10005,108,6,52,2024,2024-10-07
95,4,195,1009,10005,108,6,53,2024,2024-10-07
96,4,196,1009,10005,108,6,54,2024,2024-10-07
97,4,197,1009,10005,108,6,48,2024,2024-10-07
98,4,198,1009,10005,108,6,51,2024,2024-10-07
99,4,199,1009,10005,108,6,55,2024,2024-10-07
100,4,200,1009,10005,109,6,47,2025,2024-10-07
101,4,201,1009,10005,108,6,55,2024,2024-10-07
102,4,202,1009,10005,108,6,56,2024,2024-10-07
103,4,203,1009,10005,108,6,55,2024,2024-10-07
104,4,204,1009,10005,108,6,52,2024,2024-10-07
105,4,205,1009,10005,108,6,57,2024,2024-10-14
106,4,206,1009,10005,108,6,57,2024,2024-10-14
107,4,207,1009,10005,108,6,58,2024,2024-10-14
108,4,208,1009,10005,108,6,59,2024,2024-10-14
109,4,209,1009,10005,108,6,57,2025,2024-10-14
110,4,210,1009,10005,108,6,57,2025,2024-10-14
111,4,211,1009,10005,108,6,58,2024,2024-10-14
112,4,212,1009,10005,108,6,59,2025,2024-10-14
113,4,213,1009,10005,108,6,59,2024,2024-10-14
114,4,214,1009,10005,108,6,59,2024,2024-10-14
115,4,215,1009,10005,108,6,59,2024,2024-10-14
116,5,216,1010,10007,109,8,60,2025,2025-03-02
117,5,217,1010,10007,109,8,61,2025,2025-03-02
118,5,218,1010,10007,109,8,61,2025,2025-03-02
119,5,219,1010,10007,108,8,61,2025,2025-03-02
120,5,220,1010,10007,109,8,62,2025,2025-03-02
121,5,221,1010,10007,109,8,60,2025,2025-03-02
122,5,222,1010,10007,109,8,61,2025,2025-03-02
123,5,223,1010,10007,109,8,60,2025,2025-03-02
124,5,224,1010,10007,109,8,62,2025,2025-03-02
125,5,225,1010,10007,108,8,62,2025,2025-03-02
126,5,226,1010,10007,109,8,61,2025,2025-03-02
127,5,227,1011,10008,109,9,63,2025,2025-03-02
128,5,228,1011,10008,108,9,64,2025,2025-03-02
129,5,229,1011,10008,108,9,65,2025,2025-03-02
130,5,230,1011,10008,108,9,64,2025,2025-03-02
131,5,231,1011,10008,108,9,66,2025,2025-03-02
132,5,232,1011,10008,108,9,67,2025,2025-03-02
133,5,233,1011,10008,109,9,63,2025,2025-03-02
134,5,234,1011,10008,108,9,63,2025,2025-03-02
135,5,235,1010,10008,111,8,68,2025,2025-03-02
136,5,236,1010,10008,111,8,68,2025,2025-03-02
137,5,237,1010,10008,111,8,69,2025,2025-03-02
138,5,238,1010,10008,111,8,70,2025,2025-03-02
139,5,239,1010,10008,111,8,69,2025,2025-03-02
140,5,240,1010,10008,112,8,71,2025,2025-03-02
141,5,241,1010,10008,111,8,70,2025,2025-03-02
142,5,242,1010,10008,111,8,70,2025,2025-03-02
143,5,243,1010,10008,112,8,68,2025,2025-03-02
144,5,244,1010,10008,112,8,68,2025,2025-03-02
145,5,245,1010,10008,112,8,72,2025,2025-03-02
146,4,246,1010,10008,112,8,73,2025,2025-03-02
147,5,247,1010,10008,111,8,70,2025,2025-03-02
148,5,248,1010,10008,111,8,74,2025,2025-03-02
149,5,249,1010,10008,112,8,75,2025,2025-03-02
150,5,250,1010,10008,111,8,70,2025,2025-03-02
151,5,251,1010,10008,111,8,76,2025,2025-03-02
152,5,252,1010,10008,113,8,70,2025,2025-03-07
153,5,253,1010,10008,111,8,70,2025,2025-03-02
154,5,254,1010,10008,113,8,70,2025,2025-03-07
155,5,255,1010,10008,112,8,72,2025,2025-03-02
156,5,256,1010,10008,111,8,71,2025,2025-03-02
157,6,257,1012,10009,114,10,77,2024,2024-08-29
158,6,258,1012,10009,114,11,78,2025,2024-08-29
159,6,259,1012,10009,115,11,79,2024,2024-08-29
160,6,260,1012,10009,114,11,78,2024,2024-08-29
161,6,261,1012,10009,114,10,79,2024,2024-08-29
162,6,262,1012,10009,114,11,80,2024,2024-08-29
163,6,263,1012,10009,116,11,77,2024,2024-12-02
164,6,264,1012,10009,115,11,80,2024,2024-08-29
165,6,265,1012,10009,114,11,77,2025,2024-08-29
166,6,266,1012,10009,114,10,78,2024,2024-08-29
167,7,267,1012,10009,114,11,77,2024,2024-08-29
168,6,268,1013,10010,108,11,81,2024,2024-09-12
169,6,269,1013,10010,110,11,82,2024,2024-08-29
170,6,270,1013,10010,110,11,83,2024,2024-08-29
171,6,271,1013,10010,108,11,84,2024,2024-09-13
172,6,272,1013,10010,110,11,84,2024,2024-08-29
173,6,273,1013,10010,110,11,84,2024,2024-08-29
174,7,274,1014,10011,108,11,85,2024,2024-09-04
175,7,275,1014,10012,110,11,85,2024,2024-08-29
176,7,276,1014,10012,110,10,86,2024,2024-08-29
177,7,277,1014,10011,108,11,86,2024,2024-09-04
178,7,278,1014,10012,110,11,87,2024,2024-10-01
179,6,279,1014,10012,117,11,87,2024,2024-08-29
180,7,280,1014,10012,110,11,87,2024,2024-08-29
181,7,281,1014,10012,110,10,87,2024,2024-08-29
182,7,282,1015,10013,118,11,88,2024,2024-04-16
183,7,283,1015,10013,118,11,89,2024,2024-04-16
184,7,284,1015,10013,119,11,89,2024,2024-04-16
185,7,285,1015,10013,118,11,90,2024,2024-04-16
186,7,286,1015,10013,119,11,90,2024,2024-04-16
187,7,287,1016,10014,120,11,91,2024,2024-05-16
188,7,288,1016,10014,117,11,92,2024,2024-05-16
189,7,289,1016,10014,117,11,93,2024,2024-05-16
190,7,290,1016,10014,120,11,94,2024,2024-04-16
191,7,291,1017,10015,120,11,95,2024,2024-08-02
192,7,292,1017,10015,117,11,96,2024,2024-08-02
193,7,293,1017,10016,120,12,95,2024,2024-08-02
194,7,294,1017,10015,120,11,97,2024,2024-08-02
195,7,295,1018,10017,121,11,98,2024,2024-06-12
196,7,296,1018,10017,122,11,99,2024,2024-07-09
197,7,297,1018,10017,122,11,98,2024,2024-07-09
198,7,298,1018,10017,122,11,100,2024,2024-07-09
199,6,299,1016,10017,123,11,101,2024,2024-07-09
200,7,300,1018,10017,122,11,102,2024,2024-07-09
201,7,301,1018,10017,121,11,100,2024,2024-06-15
202,6,302,1016,10017,123,11,103,2024,2024-07-09
203,7,303,1018,10017,122,11,104,2024,2024-07-09
204,6,304,1019,10010,110,13,105,2023,2023-09-05
205,6,305,1019,10010,105,13,106,2023,2023-09-05
206,6,306,1019,10010,110,13,107,2023,2023-09-05
207,6,307,1019,10010,110,13,105,2023,2023-09-05
208,6,308,1019,10010,105,13,108,2023,2023-09-05
209,7,309,1019,10018,107,13,109,2023,2023-09-05
210,6,310,1019,10010,110,13,110,2023,2023-09-05
211,6,311,1019,10010,110,13,111,2023,2023-09-05
212,6,312,1019,10010,110,13,112,2023,2023-09-05
213,6,313,1020,10019,121,13,113,2023,2023-08-24
214,6,314,1019,10010,110,13,112,2023,2023-07-31
215,7,315,1020,10019,124,13,114,2023,2023-08-24
216,7,316,1018,10017,122,11,100,2024,2024-07-09
217,7,317,1020,10019,121,13,115,2023,2023-08-24
218,7,318,1021,10020,123,11,116,2024,2024-08-20
219,7,319,1021,10020,123,11,117,2024,2024-08-22
220,7,320,1021,10020,123,11,118,2024,2024-01-08
221,7,321,1021,10020,122,11,118,2024,2023-12-22
222,7,322,1021,10020,123,11,119,2024,2024-01-08
223,7,323,1021,10020,122,11,119,2024,2023-12-22
224,7,324,1021,10020,125,13,118,2023,2023-12-22
225,7,325,1021,10020,122,11,120,2024,2023-12-22
226,7,326,1021,10020,122,13,119,2024,2023-12-22
227,7,327,1022,10018,115,12,121,2025,2024-12-17
228,7,328,1022,10018,112,12,121,2025,2024-12-17
229,7,329,1022,10018,112,12,121,2025,2024-12-17
230,7,330,1022,10018,112,12,122,2025,2024-12-17
231,7,331,1022,10018,115,12,123,2025,2024-12-17
232,7,332,1022,10018,115,12,124,2025,2024-12-17
233,7,333,1022,10018,112,12,125,2025,2024-12-17
234,7,334,1022,10018,115,12,126,2025,2024-12-17
235,5,335,1023,10021,126,14,127,2022,2022-01-03
236,5,336,1024,10022,115,15,128,2021,2021-06-03
237,5,337,1024,10022,115,15,128,2021,2021-06-03
238,7,338,1025,10023,127,16,129,2025,2024-12-12
239,7,339,1025,10018,127,17,130,2025,2025-01-07
240,7,340,1025,10023,127,16,129,2025,2024-12-17
241,7,341,1025,10024,112,12,130,2025,2025-01-11
242,7,342,1025,10018,127,12,131,2025,2024-12-17
243,7,343,1025,10018,127,12,130,2025,2024-12-17
244,7,344,1025,10018,127,12,132,2025,2024-12-17
245,7,345,1025,10024,112,12,132,2025,2025-01-14
246,7,346,1025,10018,127,12,133,2025,2024-12-17
247,7,347,1025,10018,127,12,133,2025,2024-12-17
248,7,348,1025,10018,127,12,133,2025,2024-12-17
249,7,349,1025,10018,127,12,130,2025,2024-12-17
250,7,350,1026,10025,116,11,134,2024,2024-04-09
251,7,351,1026,10026,116,11,135,2024,2024-04-09
252,7,352,1026,10025,116,11,136,2024,2024-04-09
253,7,353,1026,10027,116,11,134,2024,2024-01-18
254,7,354,1026,10027,116,11,136,2024,2024-01-18
255,7,355,1026,10027,116,11,135,2024,2024-01-18
256,7,356,1026,10027,115,11,134,2024,2024-01-18
257,7,357,1026,10025,116,11,136,2024,2024-04-09
258,7,358,1026,10027,116,11,136,2024,2024-01-18
259,7,359,1026,10026,116,11,136,2024,2024-04-09
260,7,360,1026,10026,116,11,134,2024,2024-04-09
261,7,361,1026,10026,115,11,134,2024,2024-04-09
262,7,362,1026,10027,115,11,134,2024,2024-01-18
263,7,363,1026,10027,116,11,134,2024,2024-01-18
264,7,364,1026,10027,116,11,134,2024,2024-01-18
265,7,365,1026,10028,116,18,137,2024,2024-06-12
266,7,366,1026,10028,115,18,137,2024,2024-06-15
267,7,367,1026,10028,115,18,137,2024,2024-06-18
268,7,368,1026,10028,116,18,137,2024,2024-06-19
269,7,369,1026,10028,116,18,137,2024,2024-06-21
270,7,370,1025,10023,127,16,138,2025,2024-12-23
271,8,371,1027,10029,128,19,139,2023,2023-01-12
272,8,372,1027,10029,128,19,140,2023,2023-01-14
273,8,373,1028,10030,129,20,141,2024,2024-07-12
274,8,374,1029,10031,130,21,142,2023,2023-04-15
275,8,375,1029,10031,130,21,143,2023,2023-04-18
276,8,376,1028,10030,129,20,144,2024,2024-07-19
277,8,377,1028,10030,129,20,145,2025,2024-07-20
278,9,378,1028,10030,129,20,144,2025,2025-02-04
279,10,379,1030,10014,108,22,146,2024,2024-07-31
280,10,380,1030,10014,108,22,147,2024,2024-07-31
281,10,381,1031,10032,112,23,148,2025,2025-03-04
282,10,382,1031,10032,112,23,149,2025,2025-03-04
283,10,383,1031,10032,112,23,150,2025,2025-03-04
284,10,384,1031,10032,113,23,150,2025,2025-03-04
285,10,385,1031,10033,131,23,151,2025,2025-03-04
286,10,386,1031,10033,131,23,152,2025,2025-03-04
287,11,387,1032,10034,132,12,153,2025,2025-02-04
288,12,388,1032,10035,133,12,154,2024,2024-11-19
289,12,389,1032,10036,133,12,155,2024,2024-11-19
290,12,390,1032,10035,133,12,156,2024,2024-11-19
291,12,391,1032,10035,134,12,154,2025,2024-11-19
292,12,392,1032,10035,134,12,154,2024,2024-11-19
293,12,393,1032,10036,134,12,155,2024,2024-11-19
294,12,394,1032,10036,134,12,157,2024,2024-11-19
295,12,395,1032,10036,134,12,155,2024,2024-11-19
296,12,396,1032,10036,134,12,155,2025,2024-11-19
297,12,397,1032,10035,134,12,156,2025,2024-11-19
298,12,398,1032,10035,134,12,156,2024,2024-11-19
