DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2001;;162.3 mm;1080x2340;Color IPS TFT LCD display;30 bit/pixel;LED;
2002;;154.6 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2003;;149.6 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2004;;33.96 mm;272x340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2005;;39.78 mm;312x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2006;;38.94 mm;324x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
2007;;139.5 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2008;;148.33 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2009;;162.6 mm;720x1520;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2010;;127 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2011;;162.5 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
2012;;156.21 mm;1080x2312;Color IPS TFT LCD display;24 bit/pixel;LED;
2013;1-hole;139.7 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2014;;157.5 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2015;1-hole;162.8 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2016;;154.6 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
2017;;145 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2018;;127 mm;480x960;Color TN-TFT LCD display;24 bit/pixel;LED;
2019;;132 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2020;;160.02 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2021;;163.1 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2022;;154.68 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2023;;159 mm;720x1480;Color IPS TFT LCD display;24 bit/pixel;Yes;
2024;;165.32 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;
2025;;165.86 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
2026;;148.34 mm;720x1440;monochrome E Ink display;24 bit/pixel;Yes;
2027;;160 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2028;;167.39 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
2029;;165 mm;1242x2688;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
2030;;147 mm;1125x2436;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
2031;;160.02 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
2032;;155 mm;828x1792;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
2033;;157.48 mm;1440x3120;Color ASV TFT LCD display;24 bit/pixel;Yes;120 Hz
2034;;143.5 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2035;;152.4 mm;1440x3040;Color ASV TFT LCD display;24 bit/pixel;Yes;
2036;;165 mm;1080x2232;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2037;1-hole;159 mm;1080x2340;Color IPS TFT LCD display;30 bit/pixel;LED;
2038;1-hole;162.5 mm;1080x2310;Color IPS TFT LCD display;30 bit/pixel;LED;
2039;;166.88 mm;1080x2400;Color IPS TFT LCD display;30 bit/pixel;LED;
2040;1-hole;163.5 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2041;;168.15 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2042;;147.3 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2043;;157.48 mm;1440x2992;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2044;;154.69 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
2045;;127 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2046;;154.9 mm;1080x2520;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2047;;157 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2048;;127 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2049;;30.5 mm;390x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2050;;255.4 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;Yes;
2051;;203.2 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2052;;178 mm;1024x600;Color TN-TFT LCD display;24 bit/pixel;LED;
2053;;139 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2054;;161 mm;720x1548;Color IPS TFT LCD display;24 bit/pixel;Self-illuminating;
2055;;144.8 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;LED;
2056;;167.39 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
2057;;144.78 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2058;;162.3 mm;1440x3120;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2059;;155 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2060;;161.5 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2061;;166.3 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
2062;;150 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2063;;154.6 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2064;;152.4 mm;1080x2220;Color ASV TFT LCD display;24 bit/pixel;Yes;
2065;;161.2 mm;720x1544;Color IPS TFT LCD display;24 bit/pixel;LED;
2066;1-hole;274.3 mm;2560x1600;Color IPS TFT LCD display;30 bit/pixel;LED;
2067;1-hole;169.2 mm;1440x3040;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2068;;162.4 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2069;;129 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2070;;169.4 mm;1440x3120;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
